	postcode	confirmed_cases_count
199	2258	0.04893880987194825
200	2259	0.6455314812353228
201	2260	0.23144578847091143
202	2261	0.5071779875049847
203	2262	0.20778501484336923
204	2263	0.21263680269396074
205	2264	0.14327174442819798
206	2265	0.07098232088262661
207	2267	0.02436971066507156
208	2278	0.027559927333953654
209	2280	0.25845185874429527
210	2281	0.13141920333200408
211	2282	0.1565421595994506
212	2283	0.21884000177234258
213	2284	0.1267224954583721
214	2285	0.35553192432097125
215	2286	0.04982498116885994
216	2287	0.41776330364659486
217	2289	0.21354512827329522
218	2290	0.35586423855731314
219	2291	0.14739244095883736
220	2292	0.028202401524214632
221	2293	0.03894722849926891
222	2294	0.021689042491913686
223	2295	0.06983029819664141
224	2296	0.022641676636093757
225	2297	0.01971731135628517
226	2298	0.09767823120209136
227	2299	0.11854756524436173
